  [1/71] OK: Espresso Gourmet Chocolate | 3.79Ôé¼ | img=yes
  [2/71] OK: Espresso Maestro Lungo | 3.59Ôé¼ | img=yes
  [3/71] OK: Espresso Maestro Ristretto | 3.79Ôé¼ | img=yes
  [4/71] OK: Tierra for Africa | 3.59Ôé¼ | img=yes
  [5/71] OK: Tierra for Amazonia | 3.39Ôé¼ | img=yes
  [6/71] OK: illy Intenso | 8.99Ôé¼ | img=yes
  [7/71] OK: illy Brasil | 7.49Ôé¼ | img=yes
  [8/71] OK: Lungo Intenso | 4.09Ôé¼ | img=yes
  [9/71] OK: illy Decaffeinato | 8.99Ôé¼ | img=yes
  [10/71] OK: illy Intenso | 5.39Ôé¼ | img=yes
  [11/71] OK: illy Decaffeinato | 5.39Ôé¼ | img=yes
  [12/71] OK: illy Forte | 7.59Ôé¼ | img=yes
  [13/71] OK: illy Colombia | 8.29Ôé¼ | img=yes
  [14/71] OK: illy Forte | 5.09Ôé¼ | img=yes
  [15/71] OK: illy Etiopia | 7.49Ôé¼ | img=yes
  [16/71] OK: Espresso Forte | 3.99Ôé¼ | img=yes
  [17/71] OK: Espresso Intenso | 4.09Ôé¼ | img=yes
  [18/71] OK: Miscela Oro | 11.69Ôé¼ | img=yes
  [19/71] OK: Miscela Blu | 10.99Ôé¼ | img=yes
  [20/71] OK: Miscela Rossa | 10.79Ôé¼ | img=yes
  [21/71] OK: Miscela Nera | 10.09Ôé¼ | img=yes
  [22/71] OK: Miscela Verde (Descafeinado) | 11.69Ôé¼ | img=yes
  [23/71] OK: Miscela Light | 10.99Ôé¼ | img=yes
  [24/71] OK: Cortado | 2.49Ôé¼ | img=yes
  [25/71] OK: Ristretto Imola | 3.59Ôé¼ | img=yes
  [26/71] OK: Brazil | 3.29Ôé¼ | img=yes
  [27/71] OK: Coco | 2.85Ôé¼ | img=yes
  [28/71] OK: Lungo Estremo | 12.29Ôé¼ | img=yes
  [29/71] OK: Espresso Avellana | 3.99Ôé¼ | img=yes
  [30/71] OK: Ristretto | 15.39Ôé¼ | img=yes
  [31/71] OK: Lungo Profondo | 16.29Ôé¼ | img=yes
  [32/71] OK: Ultimo | 3.59Ôé¼ | img=yes
  [33/71] OK: Ristretto | 21.09Ôé¼ | img=yes
  [34/71] OK: Lungo Intense | 21.59Ôé¼ | img=yes
  [35/71] OK: Espresso Subtil | 21.59Ôé¼ | img=yes
  [36/71] OK: Forza | 12.19Ôé¼ | img=yes
  [37/71] OK: Ristretto | 12.99Ôé¼ | img=yes
  [38/71] SKIP (no title): supremo-maxi-pack-lor-nespresso
  [39/71] SKIP (no title): lungo-profondo-maxi-pack-lor-nespresso
  [40/71] OK: Espresso Classico | 3.69Ôé¼ | img=yes
  [41/71] OK: Espresso Intenso | 3.69Ôé¼ | img=yes
  [42/71] OK: Espresso Ristretto | 3.69Ôé¼ | img=yes
  [43/71] OK: Per├╣ 100% Arabica | 3.19Ôé¼ | img=yes
  [44/71] OK: Espresso Descafeinado | 3.69Ôé¼ | img=yes
  [45/71] OK: Intermezzo - Segafredo | 3.59Ôé¼ | img=yes
  [46/71] OK: Intermezzo | 4.19Ôé¼ | img=yes
  [47/71] OK: Cappuccino | 3.99Ôé¼ | img=yes
